GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,Target
59,12.8,3.4,1.3,2.6,51,0.2,0.3,50,0.7,0.8,78,1.1,2.3,3.3,0.5,0.3,0.4,0.5,1
31,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0
48,9.3,4.5,1.7,3.4,49.7,0,0.1,0,1.2,1.9,61.5,0.4,0.8,1.2,0.8,0.5,0.4,1,0
80,27.7,11.2,3.5,9.4,37.4,1.3,4.1,32.9,2.8,3.3,85,0.8,1.6,2.4,3.9,1.3,0.1,2.2,1
58,18.4,5.8,1.9,5.3,36.7,0,0.1,25,1.9,3.1,61.7,0.5,0.7,1.2,1.9,1.1,0.2,1.7,0
50.45851455,16.17816996,5.199565075,1.979039813,5.23711944,38.46724657,0.416594179,1.195633993,34.85894948,0.779039813,0.987336903,77.3873369,0.49170291,1.337554366,1.829257276,1.93711944,0.679039813,0.09170291,0.916594179,0
50,36.1,12.8,4.6,12.3,37.4,2,6.5,31,1.6,2.1,75.2,0.3,2.8,3.1,6,1.9,0,2.9,1
81,25.1,10,3.8,8,48.1,0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,1.9,0.6,0.2,1.4,1
79,20.2,6.7,2.4,5.4,44.2,0.3,1,26.3,1.6,2,80,0.2,1.8,2,2.8,0.5,0,1.3,1
25.02406908,9.244565573,1.907220725,0.837344847,1.974689695,40.54573126,0,0,0,0.265062061,0.630124122,48.37344847,0.565062061,1.569875878,2.134937939,0.297593092,0.1,0.637344847,0.430124122,0
41.90345039,10.89379543,3.261380156,1.361380156,3.513105351,37.9517252,0.119309922,0.29654961,32.78828707,0.5,0.7,74.74897101,0.290345039,0.519309922,0.809654961,0.961380156,0.580690078,0.1,0.680690078,0
57,13.5,5,2,5.3,38,0.2,0.7,25.6,0.8,1,78.6,0.4,0.9,1.3,1.3,0.5,0,0.9,1
80,27.8,9.4,3.8,6.9,55.1,0,0,0,1.8,2.9,62.2,3.1,4.4,7.5,1.3,1.2,0.6,1,1
45.06369835,16.37674689,4.131849177,1.659554753,3.972294424,40.63821901,0,0.053184918,0,0.859554753,1.319109506,64.56178099,1.025479342,1.838219012,2.863698354,1.649041317,0.687260329,0.353184918,1.4,0
82,32.6,15.5,5.5,14.8,37.1,1.8,4.7,37.4,2.7,3.3,81.7,0.6,2.8,3.4,5.7,1.3,0.2,2.4,1
60,13.1,4.5,1.8,3.6,50.2,0,0.1,0,0.9,1.2,75.4,0.9,1.9,2.8,0.6,0.2,0.6,0.5,0
25,10.4,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0
63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,0
55.95965339,13.3884737,3.851872909,1.427953785,3.687896016,38.19596534,0.331988446,1.027953785,30.9841502,0.695965339,1.027953785,68.36858924,0.327953785,0.772046215,1.1,2.496254183,0.540057769,0.031988446,1.512103984,0
79,25.6,9.4,3.6,8.6,41.9,0.5,1.5,31.1,1.7,2.2,77.8,1.7,3.4,5.1,1.6,0.7,0.6,1.1,1
82,17.2,7.7,3.1,6.8,45.1,0,0,25,1.5,2.1,72.8,1.4,1.5,2.9,1.9,1.3,0.3,1.5,1
63,15,6,2.5,4.8,51.5,0,0.2,16.7,1,1.2,83.3,0.8,1.4,2.2,1,0.5,0.3,0.7,1
24,17.5,5.2,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1,1.1,2.9,1,0.1,1,0
33,7.8,3.8,1.5,3.1,48,0,0.3,10,0.8,1,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,1
75,13.31098222,5.0299565,1.9099855,4.293294667,44.900145,0,0,0,1.2099855,1.725534611,70.1299565,0.7,1.946647333,2.646647333,0.794436389,0.415549111,0.794436389,1.388872778,0
